title	location	posted_date	score	url
Senior Analog Layout Engineer	Ottawa	Posted 30+ Days Ago	-10	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Senior-Analog-Layout-Engineer_R030800
DFT Manager	Ottawa, Canada	Posted 30+ Days Ago	-10	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/DFT-Manager_2601053
Advanced Packaging Engineer - SI/PI	Ottawa, Canada	Posted 30+ Days Ago	-10	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Advanced-Packaging-Engineer---SI-PI_2600165
Senior Analog RF Design Engineer	Ottawa	Posted 10 Days Ago	-20	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Senior-Analog-RF-Design-Engineer_R030914
Technical Solutions Engineer â€“ Data Center PON	Ottawa	Posted 16 Days Ago	-20	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Technical-Solutions-Engineer---Data-Center-PON_R030460
Staff Design Verification Engineer	Toronto, Canada	Posted 30+ Days Ago	-20	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Toronto-Canada/Staff-Design-Verification-Engineer_2600151
Lab Infrastructure Project Manager	Ottawa	Posted Today	-30	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Lab-Infrastructure-Project-Manager_R031201
Product Verification Engineer Intern (12 months)	Ottawa	Posted 22 Days Ago	-30	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Product-Verification-Engineer-Intern--12-months-_R031002
Senior Staff System & Modeling Engineer â€“ Wireline Communications	Toronto, Canada	Posted 30+ Days Ago	-30	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Toronto-Canada/Senior-Staff-System---Modeling-Engineer---Wireline-Communications_2601046
Analog Mixed Signal Design Engineer, Staff	Ottawa, Canada	Posted 30+ Days Ago	-30	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Analog-Mixed-Signal-Design-Engineer--Staff_2600081
Analog IC Design, Staff Engineer	Toronto, Canada	Posted 30+ Days Ago	-30	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Toronto-Canada/Analog-IC-Design--Staff-Engineer_2600447
System Integration Specialist Intern	Ottawa	Posted 10 Days Ago	-40	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/System-Integration-Specialist-Intern_R031100
Electro-Optic Test Automation Engineer Intern (September 2026, 12 months)	Ottawa	Posted 28 Days Ago	-40	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Electro-Optic-Test-Automation-Engineer-Intern--September-2026--12-months-_R030911
Wavelogic Embedded Software Development Co-op (Fall 2026 - 4 months)	Ottawa	Posted 29 Days Ago	-40	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Wavelogic-Embedded-Software-Development-Co-op--Fall-2026---4-months-_R030890
Senior Principal Engineer, Design Verification	Ottawa, Canada	Posted 30+ Days Ago	-40	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Senior-Principal-Engineer--Design-Verification_2600799
Mechanical Engineering Intern (12month - September 2026)	Ottawa	Posted Yesterday	-60	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Mechanical-Engineering-Intern--12month---September-2026-_R031198
Embedded Software Engineer â€“ Intern	Ottawa	Posted 9 Days Ago	-60	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Embedded-Software-Engineer---Intern_R031146
ASIC Engineer Co-op (Sept 2026, 4 Months)	Ottawa	Posted 15 Days Ago	-60	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/ASIC-Engineer-Co-op--Sept-2026--4-Months-_R031083
Hardware Power Engineer - New Grad	Ottawa	Posted 28 Days Ago	-60	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Hardware-Power-Engineer---New-Grad_R030580
Analog/RF Design Engineer Intern - Master's Degree	Ottawa, Canada	Posted 30+ Days Ago	-60	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Analog-RF-Design-Engineer-Intern---Master-s-Degree_2502473-1
Software Engineer 8 month Co-op - Fall/Winter 2026	Ottawa	Posted Today	-70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Software-Engineer-8-month-Co-op---Fall-Winter-2026_R031200
Senior Software Development Manager	Ottawa	Posted 2 Days Ago	-70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Senior-Software-Development-Manager_R031150
Research Scientist Engineer - FEC Design Engineer	Canada- Ottawa- 383 Terry Fox- Bldg C	Posted 4 Days Ago	-70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Canada--Ottawa--383-Terry-Fox--Bldg-C/Research-Scientist-Engineer---FEC-Design-Engineer_R030724
AI & Automation Intern â€“ GCN Services Business Operations	Ottawa	Posted 24 Days Ago	-70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/AI---Automation-Intern---GCN-Services-Business-Operations_R030906
Electro-Optic Engineer Intern (September 2026, 12 months)	Ottawa	Posted 28 Days Ago	-70	https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Electro-Optic-Engineer-Intern--September-2026--12-months-_R030888
Analog Engineer Intern - PhD	Ottawa, Canada	Posted 30+ Days Ago	-70	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Analog-Engineer-Intern---PhD_2502430-1
Senior Staff Engineer, Design For Test - Automation & Infrastructure	Ottawa, Canada	Posted 30+ Days Ago	-70	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Senior-Staff-Engineer--Design-For-Test---Automation---Infrastructure_2600427
Model Correlation & SI Intern - Ph. D Degree	Ottawa, Canada	Posted 30+ Days Ago	-70	https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Ottawa-Canada/Model-Correlation---SI-Intern---Master-s-Degree_2502364
